Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
OMIT,18,120.4832,62.3785,0,30.0,60.0,10,0.5644462822734503,0.0016134369342542248
OMIT,188,39.6242,62.3785,0,30.0,60.0,10,0.6309427460931343,0.00047450278072812025
OMIT,199,37.3691,62.3785,0,30.0,60.0,10,0.5436256797178343,0.00036465473398766113
OMIT,266,43.5705,62.3785,0,30.0,60.0,10,0.536340881544536,0.0012484016134342126
OMIT,280,49.9329,62.3785,0,30.0,60.0,10,0.5461572721971923,0.001077030311860574
OMIT,299,40.1074,62.3785,0,30.0,60.0,10,0.4613384456930386,0.0001898691670191185
OMIT,330,45.4228,62.3785,0,30.0,60.0,10,0.6687818859464434,0.0004026310268631492
OMIT,333,41.7181,62.3785,0,30.0,60.0,10,0.5140359195547165,0.002930165172303823
OMIT,336,118.3087,62.3785,0,30.0,60.0,10,0.45401888502628274,0.00036525267491289276
OMIT,337,129.0201,62.3785,0,30.0,60.0,10,0.41941183885885747,0.00016758864076265272
OMIT,338,122.7383,62.3785,0,30.0,60.0,10,0.5749736379232238,7.82773595781111e-06
OMIT,347,75.302,62.3785,0,30.0,60.0,10,0.5062437648981957,7.460166788519675e-05
OMIT,36,50.9799,62.3785,0,30.0,60.0,10,0.5345153098718702,0.0002617194403694635
OMIT,364,76.6711,62.3785,0,30.0,60.0,10,0.5589530230374189,0.00045692853338813086
OMIT,4,127.1678,62.3785,0,30.0,60.0,10,0.5611782223676742,6.942405230630633e-05
OMIT,50,43.4899,62.3785,0,30.0,60.0,10,0.5836705074868554,0.00022244357013910141
OMIT,6,43.0872,62.3785,0,30.0,60.0,10,0.6404051458230524,0.0007638052551348806
OMIT,69,147.7047,62.3785,0,30.0,60.0,10,0.3827753285178823,0.0008295613760485032
OMIT,9,73.5302,62.3785,0,30.0,60.0,10,0.49191359964104464,0.0001272983778640193
PBV,10,54.0403,62.3785,0,30.0,60.0,10,0.5130949262915063,0.0003918650017088753
PBV,101,101.396,62.3785,0,30.0,60.0,10,0.46292510544401266,0.0008573202224053362
PBV,104,90.443,62.3785,0,30.0,60.0,10,0.35089270570098996,0.00030907564556122597
PBV,107,48.2416,62.3785,0,30.0,60.0,10,0.4665238036456897,0.001578558570172018
PBV,108,92.8591,62.3785,0,30.0,60.0,10,0.4018166317331583,0.0004193670035289252
PBV,109,46.8725,62.3785,0,30.0,60.0,10,0.3867177285847433,3.055452542905026e-05
PBV,135,117.5034,62.3785,18.5567,30.0,60.0,10,0.4063353784051994,0.0006562676656607435
PBV,151,54.8456,62.3785,0,30.0,60.0,10,0.5252664534838952,0.0007012908669851389
PBV,18,53.1544,62.3785,0,30.0,60.0,10,0.4584776486351536,0.00020225585620569863
PBV,188,57.745,62.3785,0,30.0,60.0,10,0.516207921075583,0.0008779528641098519
PBV,199,41.7987,62.3785,0,30.0,60.0,10,0.5487007421567223,0.0002212675209783786
PBV,266,63.4631,62.3785,0,30.0,60.0,10,0.41723746748403523,2.567849608174056e-05
PBV,280,50.1745,62.3785,0,30.0,60.0,10,0.5412291541753975,2.3664151599431914e-05
PBV,299,39.0604,62.3785,0,30.0,60.0,10,0.5328455375459396,0.0011689129956674639
PBV,330,48.5638,62.3785,0,30.0,60.0,10,0.4529333977656411,2.9367495019166095e-05
PBV,333,43.8926,62.3785,0,30.0,60.0,10,0.5860712873937908,0.000852708212682548
PBV,336,59.5168,62.3785,0,30.0,60.0,10,0.4923240163520298,0.0009760047661842381
PBV,337,88.6711,62.3785,0,30.0,60.0,10,0.4484960728980958,0.0006527960337182392
PBV,338,35.8389,62.3785,0,30.0,60.0,10,0.45883439961009664,0.0007892174240575019
PBV,347,89.9597,62.3785,18.5567,30.0,60.0,10,0.3520707099654047,0.00030473326779650395
PBV,36,49.2886,62.3785,0,30.0,60.0,10,0.671753450759617,0.0009553468926524769
PBV,364,117.4228,62.3785,0,30.0,60.0,10,0.4312058082390182,8.395449077313366e-05
PBV,4,124.5906,62.3785,0,30.0,60.0,10,0.4335636533960291,1.485556298245377e-05
PBV,50,55.7315,62.3785,0,30.0,60.0,10,0.3910784746937249,0.00010723199823311404
PBV,6,43.651,62.3785,0,30.0,60.0,10,0.4157153699018742,6.53244743841494e-05
PBV,69,93.3423,62.3785,0,30.0,60.0,10,0.5424283697894063,0.00025524588417236
PBV,9,115.3289,62.3785,0,30.0,60.0,10,0.47127821031924,0.0003814181083148935
PCA,10,40.9128,62.3785,0,30.0,60.0,10,0.5632949313307911,0.0010659884748223858
PCA,101,42.3624,62.3785,0,30.0,60.0,10,0.48401261577494326,5.347541609346056e-05
PCA,104,40.7517,62.3785,0,30.0,60.0,10,0.6596448357769752,0.0003840632597737093
PCA,107,41.6376,62.3785,0,30.0,60.0,10,0.4665756829222363,0.0005344862089326113
PCA,108,42.0403,62.3785,0,30.0,60.0,10,0.6472867001231617,0.000839784192242857
PCA,109,126.443,62.3785,0,30.0,60.0,10,0.62458655481867,0.0009574028245455475
